Date,Population (000s),New arrivals (immigrants) Nos.,Employed - full-time Persons ('000),Employed - Total Persons ('000),Unemployed - looking for full-time work Persons ('000),Unemployment (% ),NAB Business Conditions,NAB Business Confidence,Gross disposable household income (AUD bn),Avg. weekly Earnings; Persons; Full Time; Adult; Ordinary time earnings (AUD),Purchase of vehicles: Chain volume measures (AUD bn),Rent and other dwelling services: Chain volume measures (AUD bn),Recreation and culture: Chain volume measures (AUD bn),Food: Chain volume measures (AUD bn),Final Consumption Expenduture: Chain volume measures (AUD bn),Total Liabilities (including share capital) (AUD bn) ,Total Liabilities - Loans and placements (AUD bn),Interest Rates (%),Total New Vehicle Sales (000),New Motor Cars and station wagons Personal Finance (AUD bn),Used Motor Cars and station wagons (AUD bn),Aust. Passenger vehicles nos.,Aust. Sports utility vehicles nos. ,Average Age of Motor Vehicles (years),Oil Prices (USD / bbl),AUDUSD,AUDJPY,AUDEUR,Trade Weighted Index
1/08/96,0.001032324,0.027888446,-0.015144628,-8.61E-06,0.05986081,0.004899813,,,0.004094643,0.002027996,0.003393522,0.001939094,0.004266392,-0.002067216,0.00134644,0.005714286,0.005894591,0,-0.003742227,-0.069320747,-0.038621412,0.009536654,0.075847787,0.001020315,0.089618022,0.023024188,0.031908489,,0.024778761
1/09/96,0.001031259,-0.041343669,0.010561733,3.64E-05,0.010632009,0.004483456,,,0.004094643,0.002023892,0.003393522,0.001939094,0.004266392,-0.002067216,0.00134644,0.005681818,0.005860048,0,-0.003903589,-0.005847046,-0.049306502,-0.078792939,-0.026708373,0.001019276,0.095730337,0.001896574,0.027887981,,0.010362694
1/10/96,0.000889798,0.01212938,-0.001486061,0.000341723,-0.046390226,0.003338609,,,0.004282169,0.002019804,0.010077449,0.002193685,0.004062091,-0.000757554,0.002570482,0.008056079,0.00913868,0,-0.001146089,0.061811804,0.081030956,0.100189036,0.167614339,0.001018237,-0.042247744,-0.000630994,0.022817573,,0.001709402
1/11/96,0.000889007,0.017310253,-0.00386137,0.000772343,-0.017097826,0.001888975,,,0.004282168,0.003883972,0.010077449,0.002193685,0.00406209,-0.000757554,0.002570482,0.007991697,0.00905592,0,0.005755529,-0.093567304,-0.140528812,-0.029586217,0.085538852,0.001017202,0.017130621,0.023740371,0.021309656,,0.0221843
1/12/96,0.000888218,0.02486911,0.020126967,0.001011369,0.060540748,0.001371636,,,0.004282168,0.003868946,0.010077448,0.002193685,0.00406209,-0.000757554,0.002570482,0.007928336,0.008974647,-0.142857143,0.012696427,0.01728127,0.013853011,-0.005142012,-0.069046226,0.001016167,0.091368421,-0.017515727,0.005324929,,-0.008347245
1/01/97,0.001065642,-0.068965517,-0.015986553,0.000985236,0.091757296,0.000852565,,,0.004460416,0.003854034,0.015436886,0.002585451,0.006154228,0.000940718,0.004138518,0.005107774,0.006671114,0,0.016498292,0.105098725,0.103005151,-0.147524197,-0.090718626,0.000782723,-0.068287037,-0.043314501,0.004648146,,-0.021885522
1/02/97,0.001064508,-0.089163237,-0.002917503,0.000757606,0.044608912,0.001692652,,,0.004460415,0.003644846,0.015436886,0.002585451,0.006154228,0.000940718,0.004138518,0.005081817,0.006626905,0,0.017553268,-0.080373685,-0.000619058,0.205256535,0.109677419,0.000782111,-0.15942029,0.018110236,0.005164622,,0.020654045
1/03/97,0.001063376,0.106927711,-0.004431439,0.000296939,-0.087239532,0.001905524,,,0.004460416,0.00363161,0.015436887,0.002585451,0.006154228,0.000940718,0.004138518,0.005056123,0.006583278,0,0.012647999,-0.011313206,-0.087376303,0.021521961,0.064368771,0.000781501,0.005418719,0.013792214,0.041853993,,0.020236088
1/04/97,0.000621758,-0.121088435,-0.00158994,-4.39E-05,-0.03339881,0.000528588,-0.257565809,0.541119987,0.003982307,0.003618469,0.026257636,0.002708228,0.008462591,0.003448302,0.005385542,0.011973036,0.011336386,0,0.006869514,0.139628318,0.086649526,-0.021207898,0.033944596,0.00078089,-0.009799118,-0.006865861,0.018802014,,0.003305785
1/05/97,0.000621373,-0.049535604,-0.000875464,-0.000137678,-0.010572964,-0.001894669,-0.659876908,-0.039909144,0.003982307,0.001538314,0.026257636,0.002708228,0.008462591,0.003448301,0.005385542,0.011831378,0.011209312,0,0.00534096,-0.07125477,-0.033921761,0.040368322,0.079433962,0.00078028,0.033151905,-0.025348867,-0.106696248,,-0.044481054
1/06/97,0.000620986,0.013029316,-0.002531219,0.000234582,-0.035740698,-0.004912994,-1.060677719,0.047149235,0.003982307,0.001535951,0.026257636,0.002708228,0.008462591,0.003448302,0.005385542,0.011693033,0.011085057,-0.083333333,0.009579792,0.092776905,0.143410029,0.148181943,0.172347492,0.000779672,-0.051724138,-0.020753973,-0.038157598,,-0.022413793
1/07/97,0.000826865,0.048231511,0.014418279,0.000996773,0.001618535,-0.007830732,-69.56087229,0.027893501,0.002226834,0.001533595,0.020037655,0.003001691,0.006402473,0.004307005,0.004223612,0.01048951,0.007168459,-0.090909091,0.016007197,0.05875656,-0.015771049,-0.094766957,-0.187267034,0.000779065,0.017171717,-0.000402414,0.03157277,,0.028218695
1/08/97,0.000826182,-0.009202454,-0.021138225,0.001762337,0.010506199,-0.010133311,-0.421780085,0.053933353,0.002226834,0.004928701,0.020037655,0.003001691,0.006402474,0.004307005,0.004223612,0.010380623,0.007117438,0,0.021151469,-0.111835392,-0.06538417,-0.077100342,0.095945698,0.000778458,-0.026315789,-0.014492754,-0.004437365,,-0.001715266
1/09/97,0.0008255,-0.03250774,0.023907174,0.002308506,-0.010028915,-0.011887116,-1.052576454,-0.253689459,0.002226834,0.004904528,0.020037655,0.003001691,0.006402474,0.004307005,0.004223612,0.010273973,0.007067138,0,0.022251309,0.095641031,0.049001464,0.156381537,0.040174088,0.000777854,0.080061193,-0.019880174,-0.003771429,,-0.008591065
1/10/97,0.000745405,-0.0336,-0.003734537,0.002447961,-0.057671818,-0.011442406,22.71737709,-0.70397983,0.00129543,0.004880591,0.01528639,0.003154922,0.002525405,0.004334812,0.002947248,0.012241055,0.013828689,0,0.017973752,0.048116632,0.002983851,0.025808707,0.188606373,0.000777248,-0.004721435,-0.022506252,-0.029367902,,-0.010398614
1/11/97,0.00074485,0.031456954,0.00265091,0.002234954,0.003580739,-0.009835299,-0.935748036,1.885985042,0.00129543,0.001697553,0.015286389,0.003154922,0.002525405,0.004334812,0.002947248,0.012093023,0.013640065,0,0.010738487,-0.034071976,-0.066458976,-0.034701896,-0.062009207,0.000776644,-0.091555977,-0.033115406,0.025292519,,-0.001751313
1/12/97,0.000744296,0.069020867,0.015205928,0.001846997,0.034614261,-0.007562179,-15.97254898,-0.22420166,0.00129543,0.001694676,0.01528639,0.003154922,0.002525405,0.004334812,0.002947248,0.011948529,0.013456517,0,0.002504433,0.117887474,0.058814683,0.030300513,0.054416859,0.000776042,-0.078851175,-0.040570337,-0.02259366,,0.019298246
