"Var1","Var2","Granger_V2","Instant_V2","Granger_V1","Instant_V1"
"Var_1","Var_27","0.0549100683234707","0.832013124728301","0.308317812258559","0.832013124728301"
"Var_1","Var_28","0.0317152330195845","0.335548875364625","0.539491724186282","0.335548875364625"
"Var_1","Target","0.333275211534039","0.643294241289015","0.460473377779469","0.643294241289015"
"Var_2","Var_3","2.43685590290976e-05","0.256553148283805","0.83055127743797","0.256553148283805"
"Var_2","Var_4","0.0685307746657444","0.936365963282782","0.684627682798635","0.936365963282782"
"Var_2","Var_5","0.0267798883715515","0.203056384003623","0.0350627748695641","0.203056384003623"
"Var_2","Var_6","0.614367011344955","0.587354571024686","0.0404719906780879","0.587354571024686"
"Var_2","Var_7","0.940835358943892","0.792702663875454","0.112245171645711","0.792702663875454"
"Var_2","Var_8","0.231849112447631","0.440945754660555","0.969673959531051","0.440945754660555"
"Var_2","Var_9","0.0459236540353383","0.797348148198578","0.00119721185655508","0.797348148198578"
"Var_2","Var_10","0.614597833042498","0.35793586641102","0.718082852056474","0.35793586641102"
"Var_2","Var_11","0.137925615739088","0.613582399302967","0.777874291680371","0.613582399302967"
"Var_2","Var_12","0.112357350647633","0.732938572869281","0.897989889737632","0.732938572869281"
"Var_2","Var_13","0.758311146393171","0.40679254237539","0.0546808282333193","0.40679254237539"
"Var_2","Var_14","0.605441709389462","0.491970759291941","0.173005213467972","0.491970759291941"
"Var_2","Var_15","0.851551248526581","0.927599092019715","0.216868673470223","0.927599092019715"
"Var_2","Var_16","5.77697833501478e-05","0.961403119065135","0.196023094159928","0.961403119065135"
"Var_2","Var_17","7.25962192918983e-05","0.963277418281661","0.0162073685819358","0.963277418281661"
"Var_2","Var_18","0.00018180527412226","0.552790859576412","0.0224345914815653","0.552790859576412"
"Var_2","Var_19","0.142755429342154","0.0254846758092427","0.0211534713908141","0.0254846758092427"
"Var_2","Var_20","2.8521690322858e-06","0.409810292181047","7.1271034047804e-06","0.409810292181047"
"Var_2","Var_21","7.40491306672197e-06","0.316856841745897","0.168916833617148","0.316856841745897"
"Var_2","Var_22","2.94443982529202e-08","0.0803217355897403","0.562628654475623","0.0803217355897403"
"Var_2","Var_23","0.310893209626524","0.7722373205344","0.299722962429344","0.7722373205344"
"Var_2","Var_24","0.0660298884895507","0.822244196143634","0.802324901516968","0.822244196143634"
"Var_2","Var_25","0.582403156803484","0.086691529382587","0.00998013948115806","0.086691529382587"
